ИФ,Возраст,Сумма кредита,Средний ежемесячный доход за последние 6 мес,Ежемес. Выплаты по кредиту,Срок кредита (мес.),Кредит одобрен?
Ольга Силюгина,33,200000,36000,290000,24,В кредите отказано
Жанна Ганиева,34,200000,36500,290800,25,В кредите отказано
Валерий Шигусов,35,200000,37000,291600,26,В кредите отказано
Степан Панчищин,36,200000,37500,292400,27,В кредите отказано
Катерина Вандрикова,37,200000,38000,293200,28,В кредите отказано
Кристина Ладыгина,38,200000,38500,294000,29,В кредите отказано
Любовь Москина,39,200000,39000,294800,30,В кредите отказано
Илья Даданин,40,200000,39500,295600,31,В кредите отказано
Антон Натаров,41,200000,40000,296400,32,В кредите отказано
Алёна Илингина,42,200000,40500,297200,33,В кредите отказано
Артём Моцыгин,43,200000,41000,298000,34,В кредите отказано
Анна Веревкина,44,200000,41500,298800,35,В кредите отказано
Зинаида Логвичева,45,200000,42000,299600,36,В кредите отказано
Борис Садолин,46,200000,42500,300400,12,В кредите отказано
Надежда Савичева,47,200000,43000,301200,13,В кредите отказано
Федор Ганагин,48,200000,43500,302000,14,В кредите отказано
Мария Тюрикова,49,200000,44000,302800,15,В кредите отказано
Ирина Первукина,50,200000,44500,303600,16,В кредите отказано
Ева Живрякова,51,200000,45000,304400,17,В кредите отказано
Роман Гудиленков,52,200000,45500,305200,18,В кредите отказано
Вадим Непомнящих,53,200000,46000,306000,19,В кредите отказано
Анатолий Тюгашев,54,200000,46500,306800,20,В кредите отказано
Валентин Прощалыгин,55,200000,47000,307600,21,В кредите отказано
Николай Болотин,56,200000,47500,308400,22,В кредите отказано
Лиза Синьгова,57,200000,48000,309200,23,В кредите отказано
Александр Банецкий,58,200000,48500,310000,24,В кредите отказано
Ева Корсовская,59,200000,49000,310800,25,В кредите отказано
Любовь Дасова,60,200000,49500,311600,26,В кредите отказано
Владислав Степчиков,61,200000,50000,312400,27,В кредите отказано
Иван Сторошев,62,200000,50500,313200,28,В кредите отказано
Вера Хадюшина,63,200000,51000,314000,29,В кредите отказано
Яна Вострюкова,64,200000,51500,314800,30,В кредите отказано
Кристина Цымбаева,18,200000,52000,315600,31,В кредите отказано
Катерина Козловских,19,200000,52500,316400,32,В кредите отказано
Маргарита Сересева,20,200000,53000,317200,33,В кредите отказано
Яна Чуванова,21,200000,53500,318000,34,В кредите отказано
Полина Будднова,22,200000,54000,318800,35,В кредите отказано
Екатерина Тришенкова,23,200000,54500,319600,36,В кредите отказано
Алла Шелешкова,18,500000,15100,320400,36,В кредите отказано
Леонид Броников,19,500000,15600,321200,37,В кредите отказано
Клара Катюнина,20,500000,16100,322000,38,В кредите отказано
Елизавета Пикашкова,21,500000,16600,322800,39,В кредите отказано
Михаил Богаев,22,500000,17100,323600,40,В кредите отказано
Алёна Афимова,23,500000,17600,324400,41,В кредите отказано
Любовь Зологина,24,500000,18100,325200,42,В кредите отказано
